iter	Passed	Remaining
408	6616	9560
409	6633	9545
410	6650	9530
411	6666	9514
412	6683	9498
413	6703	9488
414	6718	9470
415	6731	9450
416	6744	9428
417	6755	9406
418	6767	9383
419	6779	9362
420	6792	9341
421	6806	9322
422	6819	9302
423	6851	9308
424	6869	9293
425	6885	9277
426	6935	9307
427	6954	9294
428	6971	9278
429	6988	9264
430	7008	9252
431	7027	9239
432	7045	9225
433	7064	9213
434	7080	9196
435	7098	9182
436	7119	9172
437	7140	9161
438	7161	9151
439	7183	9142
440	7205	9133
441	7225	9122
442	7246	9111
443	7264	9097
444	7282	9082
445	7296	9063
446	7309	9043
447	7325	9026
448	7341	9009
449	7356	8990
450	7370	8971
451	7384	8953
452	7405	8942
453	7429	8935
454	7448	8922
455	7464	8905
456	7486	8895
457	7505	8882
458	7520	8863
459	7534	8845
460	7554	8832
461	7572	8818
462	7592	8805
463	7616	8798
464	7636	8786
465	7655	8772
466	7676	8761
467	7694	8746
468	7712	8732
469	7729	8716
470	7745	8699
471	7760	8681
472	7776	8664
473	7790	8645
474	7806	8628
475	7821	8610
476	7833	8588
477	7847	8569
478	7860	8549
479	7873	8529
480	7886	8509
481	7897	8487
482	7909	8466
483	7922	8446
484	7936	8427
485	7952	8410
486	7972	8397
487	7991	8384
488	8008	8368
489	8032	8360
490	8052	8347
491	8074	8337
492	8098	8328
493	8124	8322
494	8147	8311
495	8168	8300
496	8181	8279
497	8194	8260
498	8208	8241
499	8222	8222
500	8235	8202
501	8250	8184
502	8271	8172
503	8290	8158
504	8314	8150
505	8334	8137
506	8358	8128
507	8379	8115
508	8394	8097
509	8409	8079
510	8420	8057
511	8432	8037
512	8446	8018
513	8459	7999
514	8476	7982
515	8490	7964
516	8503	7944
517	8517	7925
518	8534	7909
519	8547	7890
520	8565	7875
521	8584	7860
522	8603	7846
523	8623	7833
524	8640	7817
525	8658	7802
526	8675	7786
527	8695	7773
528	8712	7757
529	8732	7743
530	8751	7729
531	8771	7716
532	8791	7703
533	8814	7691
534	8829	7674
535	8845	7657
536	8862	7641
537	8882	7627
538	8901	7613
539	8918	7597
540	8935	7580
541	8954	7566
542	8971	7550
543	8989	7535
544	9008	7521
545	9028	7507
546	9048	7493
547	9069	7480
548	9090	7467
549	9113	7456
550	9130	7440
551	9146	7423
552	9163	7407
553	9178	7389
554	9194	7371
555	9212	7356
556	9228	7339
557	9242	7320
558	9257	7303
559	9287	7297
560	9320	7293
561	9379	7309
562	9489	7365
563	9608	7427
564	9629	7413
565	9668	7414
566	9708	7413
567	9871	7508
568	9921	7514
569	9966	7518
570	10070	7565
571	10083	7545
572	10234	7626
573	10335	7670
574	10412	7696
575	10513	7738
576	10608	7776
577	10628	7759
578	10640	7736
579	10651	7713
580	10662	7689
581	10673	7666
582	10684	7641
583	10695	7618
584	10708	7596
585	10722	7575
586	10737	7554
587	10752	7534
588	10765	7512
589	10776	7488
590	10790	7467
591	10807	7448
592	10827	7431
593	10842	7410
594	10855	7389
595	10870	7368
596	10886	7348
597	10900	7328
598	10916	7308
599	10932	7288
600	10948	7268
601	10961	7247
602	10978	7227
603	11014	7221
604	11027	7199
605	11042	7179
606	11055	7158
607	11070	7137
608	11093	7122
609	11118	7108
610	11132	7087
611	11145	7066
612	11156	7043
613	11169	7021
614	11182	7000
615	11195	6979
616	11208	6957
617	11220	6935
618	11231	6913
619	11242	6890
620	11252	6867
621	11263	6844
622	11274	6822
623	11285	6800
624	11296	6778
625	11308	6756
626	11320	6734
627	11333	6713
628	11344	6691
629	11355	6669
630	11368	6647
631	11381	6626
632	11392	6604
633	11402	6582
634	11412	6559
635	11422	6537
636	11433	6515
637	11443	6493
638	11453	6470
639	11465	6449
640	11478	6428
641	11491	6407
642	11502	6386
643	11513	6364
644	11526	6343
645	11539	6323
646	11553	6303
647	11564	6281
648	11576	6260
649	11586	6238
650	11596	6217
651	11607	6195
652	11617	6173
653	11628	6152
654	11639	6130
655	11650	6109
656	11661	6088
657	11674	6067
658	11687	6047
659	11698	6026
660	11710	6005
661	11724	5986
662	11737	5966
663	11749	5945
664	11760	5924
665	11772	5904
666	11784	5883
667	11796	5862
668	11807	5842
669	11820	5821
670	11833	5802
671	11845	5781
672	11863	5764
673	11880	5746
674	11897	5728
675	11911	5708
676	11925	5689
677	11936	5669
678	11948	5648
679	11961	5628
680	11975	5609
681	11988	5589
682	12000	5569
683	12014	5550
684	12026	5530
685	12037	5510
686	12048	5489
687	12061	5469
688	12072	5449
689	12087	5430
690	12098	5410
691	12110	5390
692	12122	5370
693	12134	5350
694	12149	5331
695	12165	5313
696	12180	5295
697	12193	5275
698	12205	5255
699	12218	5236
700	12229	5216
701	12242	5196
702	12258	5178
703	12272	5159
704	12285	5140
705	12299	5122
706	12315	5103
707	12329	5085
708	12349	5068
709	12371	5053
710	12413	5045
711	12489	5051
712	12512	5036
713	12531	5019
714	12548	5001
715	12564	4983
716	12580	4965
717	12596	4947
718	12614	4930
719	12634	4913
720	12654	4896
721	12672	4879
722	12692	4862
723	12710	4845
724	12732	4829
725	12764	4817
726	12800	4806
727	12825	4791
728	12847	4775
729	12874	4761
730	12888	4742
731	12901	4723
732	12921	4706
733	12936	4688
734	12953	4670
735	12968	4651
736	12985	4634
737	13001	4615
738	13017	4597
739	13031	4578
740	13049	4561
741	13065	4542
742	13080	4524
743	13096	4506
744	13109	4487
745	13124	4468
746	13138	4449
747	13153	4431
748	13166	4412
749	13181	4393
750	13197	4375
751	13211	4356
752	13225	4338
753	13237	4318
754	13248	4299
755	13260	4279
756	13272	4260
757	13283	4240
758	13297	4222
759	13310	4203
760	13324	4184
761	13336	4165
762	13348	4146
763	13360	4126
764	13372	4108
765	13392	4091
766	13406	4072
767	13421	4054
768	13436	4036
769	13449	4017
770	13462	3998
771	13474	3979
772	13487	3960
773	13502	3942
774	13516	3924
775	13528	3905
776	13539	3885
777	13550	3866
778	13566	3848
779	13579	3830
780	13593	3811
781	13604	3792
782	13615	3773
783	13628	3754
784	13642	3736
785	13658	3718
786	13671	3700
787	13685	3681
788	13699	3663
789	13712	3645
790	13726	3626
791	13739	3608
792	13753	3590
793	13766	3571
794	13777	3552
795	13789	3534
796	13802	3515
797	13815	3497
798	13827	3478
799	13838	3459
800	13849	3440
801	13861	3422
802	13872	3403
803	13881	3384
804	13893	3365
805	13904	3346
806	13930	3331
807	13944	3313
808	13954	3294
809	13965	3275
810	13976	3257
811	13987	3238
812	13997	3219
813	14008	3201
814	14019	3182
815	14028	3163
816	14038	3144
817	14050	3126
818	14059	3107
819	14069	3088
820	14080	3069
821	14091	3051
822	14104	3033
823	14115	3014
824	14126	2996
825	14137	2978
826	14148	2959
827	14160	2941
828	14171	2923
829	14184	2905
830	14196	2887
831	14207	2868
832	14218	2850
833	14229	2832
834	14241	2814
835	14252	2795
836	14265	2778
837	14277	2760
838	14290	2742
839	14300	2723
840	14312	2705
841	14324	2688
842	14336	2670
843	14351	2652
844	14366	2635
845	14381	2617
846	14396	2600
847	14411	2583
848	14427	2565
849	14443	2548
850	14457	2531
851	14472	2513
852	14486	2496
853	14499	2478
854	14513	2461
855	14525	2443
856	14539	2426
857	14551	2408
858	14563	2390
859	14575	2372
860	14588	2355
861	14600	2337
862	14612	2319
863	14624	2301
864	14638	2284
865	14651	2267
866	14662	2249
867	14673	2231
868	14683	2213
869	14696	2195
870	14706	2178
871	14718	2160
872	14729	2142
873	14741	2125
874	14751	2107
875	14762	2089
876	14772	2071
877	14783	2054
878	14794	2036
879	14805	2018
880	14819	2001
881	14831	1984
882	14842	1966
883	14852	1949
884	14863	1931
885	14874	1913
886	14887	1896
887	14904	1879
888	14964	1868
889	15000	1853
890	15146	1852
891	15202	1840
892	15231	1824
893	15309	1815
894	15341	1799
895	15376	1784
896	15434	1772
897	15505	1761
898	15565	1748
899	15577	1730
900	15685	1723
901	15750	1711
902	15822	1699
903	15890	1687
904	15902	1669
905	16029	1663
906	16040	1644
907	16050	1626
908	16060	1607
909	16070	1589
910	16081	1571
911	16092	1552
912	16102	1534
913	16112	1516
914	16121	1497
915	16130	1479
916	16140	1460
917	16150	1442
918	16161	1424
919	16173	1406
920	16184	1388
921	16193	1369
922	16203	1351
923	16214	1333
924	16224	1315
925	16236	1297
926	16246	1279
927	16256	1261
928	16265	1243
929	16275	1225
930	16285	1207
931	16294	1188
932	16303	1170
933	16312	1152
934	16320	1134
935	16330	1116
936	16338	1098
937	16348	1080
938	16359	1062
939	16368	1044
940	16378	1026
941	16388	1009
942	16400	991
943	16415	973
944	16427	956
945	16440	938
946	16452	920
947	16467	903
948	16478	885
949	16489	867
950	16501	850
951	16513	832
952	16524	814
953	16536	797
954	16550	779
955	16561	762
956	16573	744
957	16601	727
958	16615	710
959	16626	692
960	16635	675
961	16647	657
962	16660	640
963	16671	622
964	16682	605
965	16694	587
966	16705	570
967	16717	552
968	16731	535
969	16744	517
970	16757	500
971	16770	483
972	16785	465
973	16796	448
974	16808	430
975	16822	413
976	16837	396
977	16851	379
978	16862	361
979	16874	344
980	16886	327
981	16897	309
982	16909	292
983	16921	275
984	16935	257
